name,demand,cutoff,yield
Messiah College,648,0.4185287382844185,0.35
Millersville University of Pennsylvania,1299,0.07273922145990026,0.33
Mount Aloysius College,379,0.012500044038358145,0.36
Muhlenberg College,579,0.6524975539913731,0.24
Neumann University,503,0.0,0.27
Pennsylvania State University-Penn State Erie-Behrend College,1080,0.09214729057378519,0.37
Pennsylvania State University-Penn State New Kensington,154,0.012132948841080347,0.44
Pennsylvania State University-Penn State Shenango,90,0.0,0.57
Pennsylvania State University-Penn State Wilkes-Barre,148,0.016835707562455872,0.38
Pennsylvania State University-Penn State Worthington Scranton,282,0.00213207531068463,0.48
Pennsylvania State University-Penn State Lehigh Valley,225,0.04295186749147401,0.29
Pennsylvania State University-Penn State Altoona,1379,0.04577967720501057,0.28
Pennsylvania State University-Penn State Beaver,208,0.0,0.36
Pennsylvania State University-Penn State Berks,814,0.018696343871677217,0.38
Pennsylvania State University-Penn State Harrisburg,628,0.05873394875356081,0.28
Pennsylvania State University-Penn State Brandywine,368,0.007339949816241053,0.36
Pennsylvania State University-Penn State Dubois,183,0.001573496020162214,0.47
Pennsylvania State University-Penn State Fayette- Eberly,224,0.0012272132996985557,0.41
Pennsylvania State University-Penn State Hazleton,433,0.005774892610079878,0.43
Pennsylvania State University-Main Campus,7649,0.536108129620106,0.3
Pennsylvania State University-Penn State Greater Allegheny,201,0.0031354625514276283,0.36
Pennsylvania State University-Penn State Mont Alto,325,0.00608874546932335,0.48
Pennsylvania State University-Penn State Abington,691,0.003003443075578044,0.28
Pennsylvania State University-Penn State Schuylkill,248,0.0018408199495478336,0.44
Pennsylvania State University-Penn State York,300,0.018478691972428737,0.27
University of Pennsylvania,2421,0.920665148228257,0.63
Philadelphia University,550,0.14048141086464258,0.16
University of Pittsburgh-Bradford,379,0.02122289073854507,0.47
University of Pittsburgh-Greensburg,394,0.08525692753839613,0.34
University of Pittsburgh-Johnstown,772,0.07980498935945851,0.54
University of Pittsburgh-Pittsburgh Campus,3678,0.6530081240005489,0.26
Point Park University,548,0.059533287893379847,0.23
Robert Morris University,998,0.10449093232715786,0.22
Saint Francis University,403,0.10682586677582892,0.32
Saint Joseph's University,1275,0.2775750353914812,0.21
Saint Vincent College,472,0.09827957847812037,0.34
Seton Hill University,386,0.09288205410383193,0.25
Shippensburg University of Pennsylvania,1520,0.04439751821906648,0.31
Slippery Rock University of Pennsylvania,1409,0.07757966284243208,0.38
Susquehanna University,589,0.32985995381991357,0.25
Swarthmore College,388,0.9184744690490684,0.41
Temple University,4390,0.32886413609867865,0.37
Ursinus College,425,0.5099153806284824,0.16
Villanova University,1659,0.766144862093871,0.23
Westminster College,309,0.09411117655892304,0.12
Wilson College,76,0.03805227320079496,0.32
York College Pennsylvania,1064,0.10824647553461039,0.15
Brown University,1543,0.9065484382641691,0.58
Bryant University,890,0.32239143528659736,0.19
Providence College,1027,0.4479609459430492,0.18
Rhode Island College,1071,0.001059301775375431,0.34
University of Rhode Island,2993,0.17756413034356253,0.19
Salve Regina University,465,0.26845921364197206,0.14
Anderson University,502,0.20339973495194663,0.35
Southern Wesleyan University,158,0.0,0.24
Citadel Military College of South Carolina,676,0.1546035695317098,0.33
Clemson University,3463,0.5992725804200726,0.32
Columbia International University,103,0.15791720473201007,0.54
Francis Marion University,744,0.0072606309187191005,0.33
Lander University,569,0.025679438296192278,0.4
Newberry College,238,0.006616561858498847,0.45
North Greenville University,505,0.4159707994143682,0.49
University of South Carolina-Aiken,526,0.03317474231509099,0.39
Wofford College,415,0.49173918986158943,0.22
Black Hills State University,619,0.09840702489292562,0.72
Presentation College,131,0.046195814924367064,0.49
University of Sioux Falls,237,0.1987076788166031,0.18
Bryan College-Dayton,187,0.1400308593458278,0.43
Cumberland University,212,0.08872773890168763,0.56
Fisk University,226,0.012397106316648539,0.17
Lane College,405,0.002954822954822955,0.18
University of Memphis,2134,0.10076062928329597,0.52
Milligan College,206,0.25122029695949816,0.49
Sewanee-The University of the South,488,0.6447185263654176,0.25
Southern Adventist University,490,0.14501220780085358,0.55
Vanderbilt University,1613,0.9320208757237771,0.41
Abilene Christian University,1030,0.21433918460325163,0.21
Austin College,364,0.4740163987299979,0.2
Baylor University,3190,0.5634129891147708,0.19
Texas A & M University-Corpus Christi,2051,0.013860239149050133,0.31
University of Dallas,380,0.5850015360113031,0.34
Texas A & M University-Texarkana,187,0.07055987676592373,0.61
Hardin-Simmons University,415,0.10769796399511403,0.53
Houston Baptist University,1135,0.16001630499282232,0.26
Lubbock Christian University,255,0.078158139637713,0.34
University of Mary Hardin-Baylor,675,0.18506131601708684,0.14
Midwestern State University,847,0.06805481840493124,0.39
The University of Texas-Pan American,3102,0.03898342352638086,0.54
Paul Quinn College,70,0.0,0.11
Prairie View A & M University,1464,0.0,0.32
Rice University,978,0.922805978118627,0.38
