name,demand,cutoff,yield,trueyield,preferability
Arkansas Tech University,1755,0.0563940605720301,0.54,0.002470011507558765,3.456024949756057e-5
Alice Lloyd College,189,0.05690188784504096,0.11,0.0002661444721823139,3.7433197572113485e-6
Schreiner University,299,0.056989934112067465,0.36,0.0004210826830024208,5.927876993500051e-6
Suffolk University,1188,0.057260014523071896,0.16,0.001673543612731001,2.362484656588177e-5
Concordia University-Saint Paul,287,0.05732895507914218,0.4,0.00040432840340570985,5.711724698770169e-6
University of Southern Maine,868,0.05733621353894392,0.27,0.001222856294447226,1.7275872988401867e-5
Radford University,1986,0.05760126395857195,0.33,0.0027987046594915416,3.964240695401976e-5
Stevenson University,752,0.05765169647834505,0.24,0.0010597877840560865,1.5018692037083538e-5
Indiana University-Purdue University-Fort Wayne,1660,0.05835682119927791,0.54,0.0023411769785979504,3.340147141929731e-5
Pennsylvania State University-Penn State Harrisburg,628,0.05873394875356081,0.28,0.0008860531424268339,1.2685912965805958e-5
Manchester University,359,0.05880713296729219,0.23,0.0005065570255639222,7.257469732199059e-6
Point Park University,548,0.059533287893379847,0.23,0.0007738372864378217,1.116169690812576e-5
Stephen F Austin State University,2253,0.060393815864649224,0.35,0.0031844016984838045,4.629940544584805e-5
Indiana University-Purdue University-Indianapolis,3796,0.06089174597189534,0.45,0.005368130533094516,7.840149515792185e-5
University of Michigan-Flint,724,0.06242704878203859,0.31,0.0010255244482250227,1.5177758404271969e-5
Lynchburg College,512,0.0626225270965326,0.14,0.0007253839971610851,1.0753804605307187e-5
Alderson Broaddus University,438,0.06310207112916447,0.21,0.0006208609616801897,9.242274280333779e-6
Central Baptist College,129,0.0631503094741501,0.44,0.00018286572589437482,2.723304980385462e-6
Wheelock College,217,0.06363113497151235,0.19,0.0003077692958069168,4.602352451257219e-6
Bryn Athyn College of the New Church,81,0.06432292812751497,0.4,0.00011496656431444463,1.7294601685565634e-6
University of Saint Francis-Fort Wayne,388,0.06516642800268643,0.38,0.0005512009364521754,8.352617256549483e-6
University of Southern Indiana,1709,0.06696973514596706,0.4,0.0024325336298111687,3.7446887786381146e-5
SUNY College at Old Westbury,410,0.06717342649519428,0.21,0.0005837077626759939,9.001495356391198e-6
The College of New Rochelle,532,0.06792872482505291,0.6,0.000758010165619675,1.1765726937498412e-5
Midwestern State University,847,0.06805481840493124,0.39,0.0012069952603851943,1.8755102954256227e-5
